iter	Passed	Remaining
422	1943	2651
423	1948	2647
424	1953	2642
425	1956	2635
426	1959	2628
427	1962	2622
428	1967	2619
429	1972	2615
430	1976	2609
431	1980	2604
432	1984	2599
433	1988	2593
434	1992	2587
435	1997	2583
436	2001	2579
437	2005	2573
438	2008	2567
439	2013	2562
440	2018	2558
441	2021	2552
442	2024	2545
443	2028	2539
444	2034	2537
445	2037	2531
446	2041	2525
447	2046	2521
448	2050	2516
449	2053	2509
450	2056	2503
451	2060	2498
452	2066	2495
453	2070	2489
454	2073	2483
455	2077	2478
456	2083	2475
457	2086	2469
458	2090	2463
459	2094	2458
460	2099	2455
461	2103	2450
462	2107	2444
463	2112	2440
464	2116	2435
465	2119	2429
466	2123	2423
467	2128	2419
468	2132	2414
469	2135	2408
470	2139	2403
471	2145	2399
472	2149	2394
473	2153	2389
474	2156	2383
475	2161	2379
476	2167	2376
477	2170	2370
478	2174	2365
479	2178	2360
480	2182	2355
481	2186	2350
482	2190	2344
483	2196	2341
484	2200	2336
485	2203	2330
486	2207	2324
487	2211	2320
488	2215	2315
489	2218	2309
490	2222	2304
491	2229	2301
492	2232	2296
493	2236	2290
494	2239	2285
495	2245	2281
496	2248	2276
497	2252	2270
498	2255	2264
499	2261	2261
500	2265	2256
501	2268	2250
502	2271	2244
503	2277	2241
504	2281	2236
505	2284	2230
506	2288	2225
507	2293	2221
508	2297	2216
509	2301	2210
510	2304	2205
511	2309	2201
512	2314	2197
513	2318	2192
514	2324	2188
515	2329	2184
516	2332	2179
517	2336	2173
518	2340	2168
519	2344	2164
520	2348	2159
521	2352	2153
522	2356	2149
523	2360	2144
524	2364	2138
525	2367	2133
526	2371	2128
527	2375	2123
528	2380	2119
529	2383	2113
530	2386	2108
531	2390	2103
532	2394	2098
533	2398	2093
534	2401	2087
535	2405	2082
536	2408	2077
537	2412	2071
538	2415	2065
539	2418	2060
540	2422	2055
541	2426	2050
542	2430	2045
543	2434	2040
544	2439	2036
545	2443	2031
546	2447	2026
547	2450	2021
548	2454	2016
549	2458	2011
550	2462	2006
551	2465	2001
552	2469	1995
553	2473	1990
554	2478	1987
555	2481	1981
556	2485	1976
557	2489	1971
558	2493	1966
559	2496	1961
560	2500	1956
561	2504	1951
562	2507	1946
563	2512	1942
564	2515	1936
565	2519	1931
566	2522	1926
567	2526	1921
568	2529	1916
569	2533	1911
570	2537	1906
571	2541	1901
572	2545	1896
573	2548	1891
574	2552	1886
575	2555	1881
576	2558	1875
577	2562	1871
578	2567	1866
579	2571	1862
580	2574	1856
581	2579	1852
582	2583	1847
583	2587	1843
584	2591	1838
585	2594	1832
586	2597	1827
587	2601	1822
588	2606	1818
589	2610	1814
590	2614	1809
591	2618	1804
592	2621	1799
593	2626	1795
594	2630	1790
595	2633	1785
596	2637	1780
597	2641	1775
598	2645	1770
599	2649	1766
600	2652	1761
601	2656	1756
602	2661	1752
603	2665	1747
604	2668	1742
605	2673	1738
606	2677	1733
607	2680	1728
608	2684	1723
609	2687	1718
610	2691	1713
611	2695	1708
612	2698	1703
613	2701	1698
614	2706	1694
615	2710	1689
616	2713	1684
617	2717	1679
618	2721	1674
619	2724	1669
620	2728	1665
621	2731	1660
622	2736	1655
623	2741	1651
624	2744	1646
625	2748	1642
626	2752	1637
627	2756	1633
628	2760	1628
629	2764	1623
630	2768	1618
631	2771	1613
632	2775	1609
633	2778	1604
634	2782	1599
635	2785	1594
636	2789	1589
637	2792	1584
638	2796	1579
639	2800	1575
640	2804	1570
641	2808	1565
642	2811	1561
643	2815	1556
644	2820	1552
645	2824	1547
646	2827	1542
647	2831	1538
648	2834	1533
649	2838	1528
650	2841	1523
651	2845	1518
652	2848	1513
653	2851	1508
654	2855	1504
655	2859	1499
656	2863	1494
657	2868	1490
658	2871	1485
659	2875	1481
660	2878	1476
661	2882	1471
662	2886	1467
663	2890	1462
664	2893	1457
665	2896	1452
666	2900	1447
667	2904	1443
668	2907	1438
669	2910	1433
670	2915	1429
671	2919	1424
672	2922	1419
673	2926	1415
674	2929	1410
675	2933	1405
676	2936	1401
677	2940	1396
678	2943	1391
679	2947	1387
680	2951	1382
681	2955	1378
682	2958	1373
683	2961	1368
684	2965	1363
685	2970	1359
686	2974	1355
687	2978	1350
688	2981	1345
689	2984	1341
690	2988	1336
691	2991	1331
692	2995	1327
693	2999	1322
694	3002	1317
695	3006	1313
696	3009	1308
697	3015	1304
698	3019	1300
699	3023	1295
700	3027	1291
701	3030	1286
702	3033	1281
703	3037	1277
704	3040	1272
705	3044	1267
706	3048	1263
707	3051	1258
708	3055	1253
709	3059	1249
710	3063	1245
711	3067	1240
712	3070	1236
713	3074	1231
714	3078	1227
715	3083	1223
716	3086	1218
717	3090	1213
718	3094	1209
719	3097	1204
720	3101	1200
721	3105	1195
722	3109	1191
723	3115	1187
724	3119	1183
725	3123	1178
726	3126	1174
727	3130	1169
728	3135	1165
729	3138	1160
730	3141	1156
731	3145	1151
732	3149	1147
733	3153	1142
734	3156	1138
735	3159	1133
736	3163	1129
737	3167	1124
738	3170	1119
739	3174	1115
740	3179	1111
741	3183	1107
742	3187	1102
743	3190	1097
744	3193	1093
745	3196	1088
746	3200	1083
747	3203	1079
748	3206	1074
749	3211	1070
750	3214	1065
751	3217	1061
752	3220	1056
753	3224	1051
754	3227	1047
755	3232	1043
756	3235	1038
757	3239	1034
758	3242	1029
759	3245	1024
760	3249	1020
761	3253	1016
762	3257	1011
763	3261	1007
764	3265	1003
765	3270	998
766	3273	994
767	3277	990
768	3281	985
769	3284	981
770	3287	976
771	3291	972
772	3294	967
773	3299	963
774	3302	958
775	3306	954
776	3311	950
777	3314	945
778	3318	941
779	3321	936
780	3326	932
781	3331	928
782	3334	924
783	3337	919
784	3341	915
785	3345	910
786	3349	906
787	3354	902
788	3358	898
789	3362	893
790	3366	889
791	3369	885
792	3373	880
793	3376	876
794	3380	871
795	3384	867
796	3388	862
797	3391	858
798	3395	854
799	3398	849
800	3402	845
801	3407	841
802	3411	836
803	3414	832
804	3418	828
805	3421	823
806	3425	819
807	3428	814
808	3432	810
809	3435	805
810	3439	801
811	3444	797
812	3447	793
813	3451	788
814	3455	784
815	3459	780
816	3463	775
817	3466	771
818	3470	766
819	3475	762
820	3478	758
821	3482	754
822	3485	749
823	3490	745
824	3494	741
825	3498	737
826	3502	732
827	3507	728
828	3510	724
829	3514	719
830	3518	715
831	3523	711
832	3527	707
833	3530	702
834	3534	698
835	3538	694
836	3542	689
837	3546	685
838	3550	681
839	3555	677
840	3560	673
841	3563	668
842	3567	664
843	3575	660
844	3579	656
845	3583	652
846	3587	648
847	3591	643
848	3595	639
849	3598	635
850	3602	630
851	3607	626
852	3611	622
853	3614	618
854	3619	613
855	3623	609
856	3627	605
857	3631	600
858	3634	596
859	3638	592
860	3642	588
861	3645	583
862	3648	579
863	3652	574
864	3656	570
865	3659	566
866	3663	561
867	3666	557
868	3671	553
869	3675	549
870	3679	544
871	3683	540
872	3687	536
873	3691	532
874	3694	527
875	3698	523
876	3701	519
877	3705	514
878	3709	510
879	3713	506
880	3716	502
881	3720	497
882	3725	493
883	3728	489
884	3731	484
885	3735	480
886	3738	476
887	3742	472
888	3746	467
889	3749	463
890	3753	459
891	3757	454
892	3761	450
893	3766	446
894	3773	442
895	3776	438
896	3780	434
897	3784	429
898	3788	425
899	3792	421
900	3796	417
901	3799	412
902	3804	408
903	3808	404
904	3811	400
905	3815	395
906	3820	391
907	3824	387
908	3827	383
909	3831	378
910	3834	374
911	3838	370
912	3842	366
913	3846	361
914	3850	357
915	3855	353
916	3859	349
917	3863	345
918	3867	340
919	3871	336
920	3875	332
921	3878	328
922	3882	323
923	3886	319
924	3890	315
925	3893	311
926	3897	306
927	3900	302
928	3903	298
929	3907	294
930	3910	289
931	3917	285
932	3921	281
933	3924	277
934	3928	273
935	3931	268
936	3935	264
937	3939	260
938	3943	256
939	3946	251
940	3949	247
941	3953	243
942	3956	239
943	3960	234
944	3964	230
945	3967	226
946	3971	222
947	3975	218
948	3978	213
949	3986	209
950	3989	205
951	3993	201
952	3997	197
953	4000	192
954	4005	188
955	4008	184
956	4012	180
957	4016	176
958	4019	171
959	4023	167
960	4026	163
961	4030	159
962	4033	154
963	4037	150
964	4041	146
965	4045	142
966	4049	138
967	4054	134
968	4058	129
969	4061	125
970	4065	121
971	4070	117
972	4073	113
973	4076	108
974	4080	104
975	4084	100
976	4087	96
977	4091	92
978	4094	87
979	4098	83
980	4101	79
981	4104	75
982	4108	71
983	4111	66
984	4115	62
985	4118	58
986	4122	54
987	4126	50
988	4129	45
989	4133	41
990	4137	37
991	4140	33
992	4144	29
993	4148	25
994	4152	20
995	4156	16
996	4160	12
997	4164	8
998	4168	4
999	4171	0
5	22
995	4399	17
996	4404	13
997	4408	8
998	4412	4
999	4415	0
3
959	10867	452
960	10877	441
961	10885	430
962	10895	418
963	10902	407
964	10915	395
965	10920	384
966	10926	372
967	10935	361
968	10949	350
969	10957	338
970	10968	327
971	10976	316
972	10986	304
973	11000	293
974	11006	282
975	11014	270
976	11019	259
977	11024	247
978	11030	236
979	11036	225
980	11045	213
981	11053	202
982	11058	191
983	11067	179
984	11071	168
985	11077	157
986	11083	145
987	11087	134
9993	11072	66
994	11081	55
995	11088	44
996	11096	33
997	11107	22
998	11112	11
999	11121	0
55
995	11140	44
996	11150	33
997	11156	22
998	11166	11
999	11176	0
06	0
