iter	Logloss
0	0.6794398955
1	0.6659774921
2	0.6541922382
3	0.6416815336
4	0.629277518
5	0.6179001776
6	0.6077903475
7	0.596291005
8	0.5842741038
9	0.5741492582
10	0.562561805
11	0.5555269545
12	0.5440376687
13	0.5360002884
14	0.5270932061
15	0.5185285057
16	0.5106923947
17	0.5004701956
18	0.494011745
19	0.4849059243
20	0.477015957
21	0.4692392675
22	0.4627214668
23	0.4543277935
24	0.4490356242
25	0.4424312212
26	0.4364816942
27	0.4306110335
28	0.4252661265
29	0.4196858234
30	0.4141261557
31	0.4088751376
32	0.4017047232
33	0.3968655662
34	0.3925466485
35	0.3882362766
36	0.3824401933
37	0.378829479
38	0.3757551658
39	0.3714669353
40	0.3658589606
41	0.3625331596
42	0.3580668885
43	0.3536903273
44	0.3497264146
45	0.3451378679
46	0.3416008432
47	0.3374249462
48	0.3330064701
49	0.3297326734
50	0.3257477364
51	0.3227152466
52	0.3197248225
53	0.3170280357
54	0.3140194861
55	0.3108827671
56	0.3083659297
57	0.3056016497
58	0.3028898529
59	0.2998512901
60	0.296235331
61	0.2942351882
62	0.2910690752
63	0.2893302619
64	0.2870810647
65	0.2847669437
66	0.282724893
67	0.2803226964
68	0.27813313
69	0.2761881665
70	0.273374457
71	0.2708902767
72	0.268389487
73	0.2663774411
74	0.2642211986
75	0.2626886669
76	0.2611490521
77	0.2594425298
78	0.2576194286
79	0.2557687427
80	0.2545428645
81	0.2529070156
82	0.2513612782
83	0.2496668592
84	0.2480897601
85	0.2460736909
86	0.2446652069
87	0.2432806237
88	0.2423310691
89	0.2405301897
90	0.2393264588
91	0.2386887692
92	0.237077825
93	0.2359680864
94	0.2346504947
95	0.2334526795
96	0.2326093153
97	0.2314139942
98	0.2302705645
99	0.2290151094
100	0.2273776718
101	0.2262479611
102	0.2249276779
103	0.223865494
104	0.2227194402
105	0.2217338803
106	0.220800749
107	0.2199323083
108	0.2190283554
109	0.2179467308
110	0.2173716227
111	0.216620408
112	0.2157379157
113	0.2146228639
114	0.2137151053
115	0.2124985516
116	0.2116730974
117	0.2111639984
118	0.2105638681
119	0.2094790825
120	0.2087288789
121	0.2078937363
122	0.2069987965
123	0.2059612122
124	0.2053267858
125	0.2044941832
126	0.2036200412
127	0.2029180732
128	0.2023207811
129	0.2016413217
130	0.2007792222
131	0.1999935204
132	0.1991526693
133	0.1983555852
134	0.1973689553
135	0.1964668911
136	0.1953694424
137	0.1947379693
138	0.1939079586
139	0.1931686412
140	0.1926717568
141	0.1920396923
142	0.191424196
143	0.1907308536
144	0.1900487794
145	0.1894598601
146	0.188539794
147	0.1879541231
148	0.1874503191
149	0.1870388545
150	0.1862229209
151	0.1855280017
152	0.184977057
153	0.1844387831
154	0.1838826741
155	0.1831109108
156	0.182482935
157	0.1819813802
158	0.1814232889
159	0.1808042779
160	0.1804871991
161	0.180257587
